name,roaster,roast,origin,rating,review
Ethiopia Dumerso Light Roast,The WestBean Coffee Roasters,Medium,Southern Ethiopia,92,"A balanced yet intricate dried-in-the-fruit Yirgacheffe, flowers grounded in chocolate with a whiff of brandy."
Kenya AA Karamundi,Revel Coffee,Medium-Light,South-Central Kenya,92,"A cocoa-toned Kenya cup with notes of stone fruit and sweet florals and the added intrigue of a tart, tamarind-like edge."
Finca San Luis Colombia Espresso,Chocolate Fish Coffee Roasters,Medium-Light,Center-West Colombia,93,A quietly zesty straight shot nicely rounded and deepened with chocolate and nut. All carry nicely into cappuccino-scaled milk.
Ethiopia Biftu Gundina Coop Espresso,Kakalove Cafe,Medium-Dark,Jimma Zone,94,"A fine darker roasted espresso: The scorched wood notes are lively and aromatic, the chocolate pleasingly bittersweet; hints of zesty citrus and sweet flowers maintain vivacity."
Ethiopia Natural Sidamo Papilio,Kakalove Cafe,Light,South-Central Ethiopia,93,"An unusual and engaging natural-processed Ethiopia: crisp, sweet-savory, complex and original in its cocoa, lemon-herb and grappa-toned aromatics."
Ethiopia Banko Gotiti Natural,Kakalove Cafe,Light,South-Central Ethiopia,94,"A perfumy, floral- and spice-toned natural-processed Ethiopia cup with an especially juicy acidity."
Peru Finca Ecológica Agua Colorada,Red Rooster Coffee Roaster,Light,Peru,93,"A solid Peru cup: rich, deeply sweet, with the intrigue of a perfumy musk-like note throughout."
Love Letters,Bird Rock Coffee Roasters,Medium-Light,Indonesia,92,A harmonious melding of sweet floral and fruit notes from the El Salvador component of the blend and a more tobacco-toned sweetness from the Indonesia contribution.
Throwback Blend,Revel Coffee,Medium-Light,Kenya,92,"A blend in which you can taste the influence of both the Colombia and the Kenya elements, the former chocolate-toned, the latter, sweetly tart. Combined, they generate a resonant, layered intricacy."
Costa Coast Blend,Roast House,Medium-Light,Ethiopia,92,"An inviting blend of two organic coffees, a Costa Rica and a natural-processed Ethiopia, which together create a spicy-floral-toned and fruit-driven cup."
Canoe Blend,Water Avenue Coffee,Medium-Light,South America,94,"A deep, energetic coffee that juxtaposes bright sweetness and rich earthiness with a dark chocolate throughline."
Dead Reckoning,Corvus Coffee Roasters,Medium-Light,El Salvador,93,"A floral-toned blend with particularly engaging acidity, sweetly tart and lively structure, and an intriguing suggestion of fresh spearmint."
Miami Winter,Per'la Specialty Roasters,Medium-Light,Ethiopia,93,"A deeply attractive blend that evokes the tropics, with notes of ginger blossom and pineapple leading the aromatic charge."
Wilderness Blend,Kakalove Cafe,Light,Kenya,93,"An elegant citrusy and chocolate-toned cup, pleasingly complicated by notes of stone fruit and rich aromatic wood."
Naturals With Attitude,Temple Coffee and Tea,Medium-Light,Ethiopia,93,"All fruit, all the time. But not a hint of ferment, despite the blend’s four dried-in-the-fruit, natural-processed components."
Guatemala Retiro Natural Process,Durango Coffee Company,Medium-Light,Chimaltenango Department,94,"A dry-processed coffee in the crisp, elegant style, lightly cocoa-toned, subtly complex, long-finishing."
Gaitania Colombia,JBC Coffee Roasters,Medium-Light,Tolima Department,93,"Big-bodied, roundly powerful coffee expression, equally nuanced with cedar, dry chocolate and herb hints. Fair trade and organic."
Rwanda Remera Kabeza,Durango Coffee Company,Medium,South-Central Rwanda,93,"An unusually pure Rwanda, impressive particularly in its fresh, juicy structure and bright composure."
Dodora Double,Barrington Coffee Roasting,Light,Yirgacheffe Growing Region,96,"An exceptional, vivacious Ethiopia coffee in which high-toned floral notes, sweetly tart fruits, and rich chocolate tones harmonize."
Poas Red Honey,Barrington Coffee Roasting,Medium-Light,Central Valley,92,"A honey-processed Costa Rica cup expressing equal parts sweet and tart: think candied apple and pomegranate wrapped in rich, creamy cashew butter."
Lekali (Nepal),Barrington Coffee Roasting,Medium,Nuwakot District,90,"The first coffee from Nepal ever rated by Coffee Review, and well worth seeking out for its confident savory-sweet cup."
Costa Rica Tarrazu,Caffe Luxxe,Medium-Light,Costa Rica,91,A paradoxical natural-processed Costa Rica coffee with big sweetness (fruit and florals) and rich aromatic wood notes in equal measure.
Decaf Espresso,Jackrabbit Java,Medium-Light,Tarrazu Growing Region,89,An inviting decaffeinated espresso laden with notes of dark chocolate and sweet florals. Particularly appealing in cappuccino-scaled milk.
Summer Night Blend Espresso,Kakalove Cafe,Medium-Light,Honduras,94,"A lush, floral and richly sweet espresso blend, with dark chocolate tones as the throughline."
Ethiopia Reko,Java Blend Coffee Roasters,Medium-Light,South-Central Ethiopia,92,"A classic Ethiopia cup: balanced, bright and deeply sweet, with notes of berry and stone fruit."
Sumatra Tano Batak,Jackrabbit Java,Medium,North Sumatra Province,92,"A classic Sumatra that displays its clean, fresh-earth character and grapefruity pungency without apology, supported by crisp chocolate, vanilla bean and pear."
Kenya Kirinyaga,Big Shoulders Coffee,Light,South-Central Kenya,94,"A complex, richly layered, juicy-sweet Kenya cup."
Ethiopia,Caffeic,Medium-Light,South-Central Ethiopia,93,"A confident, juicy-rich Ethiopia with appealing notes of citrus and cherry."
Ethiopia Guji Deri Korcha White Honey,Kakalove Cafe,Light,Oromia Region,93,An impressive white-honey processed coffee—richly fruit- and floral-toned.
Congo Kivu,Grounds for Change,Medium-Dark,South Kivu Province,92,"Inviting notes of chocolate and tea rose carry this resonant, sweetly tart, slightly darker-roasted coffee from central Africa."
Three Queens Blend,Allegro Coffee,Medium-Light,Burundi,94,"Exceptional, versatile cup. Satisfies with its balance, yet surprises with its lush, layered intricacy. Blending at its most committed and original."
Sumatra Mutu Batak,Klatch Coffee,Medium,North Sumatra Province,94,"A fine Sumatra, simultaneously expressing the pungent, full, resonantly earthy genius of the type, while lifting it with refreshing lightness and complex vivacity."
Rwanda Bufcafe Remera,Mr. Espresso,Medium,South-Central Rwanda,92,"A fine expression of the classic Rwanda and Central Africa cup, vibrantly and roundly bright, yet crucially deepened and nuanced by drier and more savory suggestions of lemon verbena and cooked root vegetables."
Kiniyota Burundi,JBC Coffee Roasters,Medium-Light,Muhinga Province,95,"One of the more impressive Burundis we’ve tested in some years: roundly sweet-toned and bright, crucially supported by a deep savory resonance."
Kona Mocca®,Hula Daddy Kona Coffee,Medium,North Kona Growing District,95,"An out-of-the-ordinary coffee but a superbly balanced and complete one, with particularly seductive floral and chocolate notes."
Ethiopia Suke Quto Honey,Paradise Roasters,Medium-Light,Oromia Region,94,"This honey-processed Ethiopia is a citrus and berry chorus, from lime blossom in the aroma to raspberry jam in the cup, backed by continuous suggestions of sandalwood and crisp cacao nib."
Ethiopia Worka Natural,Red Rooster Coffee Roaster,Medium-Light,Southern Ethiopia,93,"A natural-processed Ethiopia cup with sweetly jammy fruit character, balanced by cocoa suggestions."
Ecuador Pichincha Typica,Paradise Roasters,Medium-Light,Northern Ecuador,93,"A nuanced Typica from Ecuador: balanced, quietly complex, richly sweet."
Kenya Ndnunduri,Greater Goods Coffee Roasters,Medium-Light,South-Central Kenya,93,"A spice-toned and fruit-laden Kenya cup, distinguished by perfumy, amber-like suggestions throughout."
Ethiopia Gedeb Gotiti,Tico Coffee Roasters,Light,Gedeo Zone,93,"A crisp, high-toned Ethiopia coffee with rich fruit and sweet herb notes, next to deep evocations of honey."
Yemen Port of Mokha Al-Durrar,Equator Coffees & Teas,Medium-Light,Sana’A Governorate,94,"A gorgeous Yemen coffee that rewards the observant drinker with layers of nuance that unfold with patience, touching all the notes: fruit, earth, chocolate, spice."
Sumatra Tano Batak,Flight Coffee Co.,Medium-Light,North Sumatra Province,94,This paradoxical coffee offers both high tones and low: notes of juicy tropical fruit juxtaposed with rich pipe tobacco.
Sumatra Tano Batak,PT's Coffee Roasting,Medium-Light,North Sumatra Province,94,"This rich Sumatra invokes the experience of eating cherries in a flower garden next to a patch of fresh, fragrant, just-turned earth."
Kenya Gura AA,Cafe Douceur,Medium-Light,Lintong Growing Region,94,"A rich-toned Kenya cup with big, sweetly bright acidity and inviting notes of berry and coconut."
Finca La Maria Geisha Natural,Bird Rock Coffee Roasters,Medium-Light,Colombia,95,"A natural-processed Colombia Gesha that’s compelling in every way, with bright notes of stone fruit and honeysuckle in the cup, plump mouthfeel and flavor-saturated finish that lingers on and on."
Ethiopia Guji Gigessa,Roasters Note,Light,Oromia Region,94,"A juicy, bright Ethiopia cup with engaging fruit and floral notes and hints of rich aromatic wood, with a throughline of crisp, nut-like roasted cacao nib."
Granja La Esperanza Sudan Rume Natural,PT's Coffee Roasting,Medium,Colombia,95,"An adventurer’s coffee from the get-go. In fact, especially at the get-go, when the odd, intense, sweet pungent sensation confronts us, then softens, opening up to a deep, layered intricacy."
Gedeb Espresso,JBC Coffee Roasters,Medium-Light,Yirgacheffe Growing Region,94,"Fine wet-processed Ethiopia skillfully medium-roasted for presentation as espresso. Layered and pleasingly shifting aromatics persist throughout, from aroma through the milk shot."
Gaitania Espresso,JBC Coffee Roasters,Medium-Light,Tolima Department,93,"A tactful medium roast nicely develops crisp chocolate and subtle floral character in this intense, big-bodied single-origin espresso."
Indonesia Flores Island,Green Stone Coffee,Light,Indonesia,92,"A crisp Indonesia cup from the emerging Flores Island coffee growing region: delicate, with a throughline of tart fruit and sweet earth."
Panama Baru Geisha Honey by Joseph,Kakalove Cafe,Medium-Light,Western Panama,94,"An elegant, crisply sweet honey-processed Gesha cup with a throughline of pleasingly tart fruit notes enveloped in chocolate."
Ethiopia Sidamo Shakiso Danbi Uddo Mulish Natural G1,Evie's Cafe,Medium-Light,South-Central Ethiopia,92,"A delicate, flavor-saturated natural-processed Sidamo cup, animated by notes of raspberry and clove."
Panama Baru Geisha Natural by Joseph,Kakalove Cafe,Medium-Light,Western Panama,94,"An understated and attractive natural-processed Gesha, rich with notes of sweet flowers, fruit-toned spices, and bright citrus zest."
Static Indonesia Toarco Sulawesi,Espresso Republic,Medium-Light,South-Central Sulawesi,91,"A sweet, richly savory Sulawesi cup with a cocoa and mesquite throughline nuanced by butterscotch and fine musk."
Burundi Buhorwa,Big Shoulders Coffee,Medium-Light,Toraja Growing Region,94,"A deeply pleasing coffee from Burundi: rich, profoundly sweet throughout, and complexly layered with fruit, floral and aromatic wood notes."
Warrior in the Forest Blend,Fumi Coffee,Medium-Light,Indonesia,92,"An Ethiopia-Indonesia blend that offers both high-toned sweetness and warm, low-toned spice notes reminiscent of clove."
COE Brazil Naturals 2017 Sitio Esperanza 7th place,Dragonfly Coffee Roasters,Medium-Light,Southern Minas Gerais State,92,"A crisp, chocolate-toned Brazil natural cup, with inviting notes of dried hibiscus and vanilla-like florals."
Icamiabas Fazenda Klem Catuaí Natural,Hatch Coffee,Medium-Light,Eastern Minas Gerais State,92,"A fruit-forward, natural-processed Brazil coffee that invokes a chocolate cordial with its predominant note of brandy-inflected dark chocolate."
Brazil Chapada Diamantina Fazenda Floresta,Soul Work Coffee,Medium-Light,Bahia State,92,A confident chocolate- and floral-toned cup with a pleasingly bittersweet structure.
Tumba Rwanda,Corvus Coffee Roasters,Light,Chapada Diamantina Growing Region,93,"Lovely expression of the genius of Rwanda coffees: roundly sweet-savory in structure, resonant in aromatics, luxurious in mouthfeel."
Mandheling Onan Ganjang,Kakalove Cafe,Medium-Light,North Sumatra Province,94,A sweet yet umami-leaning Sumatra cup (think candy cap mushroom) with rich fruit and floral tones throughout.
Burundi Nemba,Amavida Coffee Roasters,Medium-Light,Kabuye,93,"A floral- and spice-toned Burundi cup, simultaneously richly sweet and invitingly savory."
Static Peru Cajamarca,Espresso Republic,Medium-Light,Kayanza,89,"A delicately brisk, sweetly nut-toned variation on the classically gentle Peru profile."
Ethiopia Banko Gotiti Natural,Coffee Please,Light,South-Central Ethiopia,94,"A brightly sweet, crisply tart natural-processed Ethiopia cup: fruit- and floral-toned with a hint of intriguing cardamom-like spice."
Flight Seasonal Espresso,Red Rooster Coffee Roaster,Medium-Light,Rwanda,93,"A brightly lively, complex yet coherent blend of both washed and natural-processed coffees: juicy, sweetly tart, chocolaty and floral-toned, with a hint of appealing sweet ferment."
Yemen Microlot,Dragonfly Coffee Roasters,Light,Ethopia,96,"A stunningly balanced, bright, flavor-saturated Yemen cup characterized by rich fruit and cocoa-toned floral notes throughout."
Lycello by Ninety Plus,Dragonfly Coffee Roasters,Medium-Light,Far Western Panama,95,"Complete: suave, flavor-saturated, big-bodied, sweetly and gracefully bright."
