Store Name,City,State/Province,Country,Phone Number,Timezone,Longitude,Latitude
Outlet Village,Dubai,DU,AE,,GMT+04:00 Asia/Dubai,55,24.54
ENOC 1009 DT,Dubai,DU,AE,,GMT+04:00 Asia/Dubai,55.27,25.2
Burjuman Centre II,Dubai,DU,AE,43516656,GMT+04:00 Asia/Dubai,55.3,25.25
Al Barsha Coop,Dubai,DU,AE,02 5758780,GMT+04:00 Asia/Dubai,55.21,25.1
Spinney's Silicon Oasis,Dubai,DU,AE,04-3206419,GMT+04:00 Asia/Dubai,55.4,25.13
Carrefour Green Community,Dubai,DU,AE,,GMT+04:00 Asia/Dubai,55.38,25.11
World Trade Centre,Dubai,DU,AE,,GMT+04:00 Asia/Dubai,55.33,25.29
Emaar Town Center,Dubai,DU,AE,43617373,GMT+04:00 Asia/Dubai,55.17,25.05
Knowledge Village,Dubai,DU,AE,04-3616288,GMT+04:00 Asia/Dubai,55.16,25.1
Bay Avenue - Business Bay,Dubai,DU,AE,,GMT+04:00 Asia/Dubai,55.16,25.11
Fujairah City Centre,Fujairah,FU,AE,,GMT+04:00 Asia/Muscat,56.3,25.13
LuLu Fujairah,Fujairah,FU,AE,,GMT+04:00 Asia/Muscat,56.33,25.12
Al Hamra Mall,Ras Al Khaimah,RK,AE,07-2434772,GMT+04:00 Asia/Dubai,55.78,25.68
Al Manar Mall -,Ras Al Khaimah,RK,AE,07-2272121,GMT+04:00 Asia/Dubai,55.97,25.79
Safeer Mall,Ras Al Khaimah,RK,AE,07-2355921,GMT+04:00 Asia/Dubai,55.92,25.75
Sharjah Corniche,Sharjah,SH,AE,,GMT+04:00 Asia/Dubai,55.39,25.35
Mega Mall,Sharjah,SH,AE,06-5744316,GMT+04:00 Asia/Dubai,55.4,25.35
Bukhatir Tower,Sharjah,SH,AE,06-5560572,GMT+04:00 Asia/Dubai,55.38,25.33
Qanat Al Qasba,Sharjah,SH,AE,06-5560318,GMT+04:00 Asia/Dubai,55.38,25.32
Sahara Center,Sharjah,SH,AE,06-5315823,GMT+04:00 Asia/Dubai,55.37,25.3
American University of Sharjah,Sharjah,SH,AE,06-5585722,GMT+04:00 Asia/Dubai,55.48,25.3
UAQ Drive Thru,Umm Al Quwain,UQ,AE,,GMT+04:00 Asia/Dubai,55.54,25.53
Alto Avelleneda,Avellaneda,B,AR,4204-3785,GMT-03:00 America/Argentina/Bu,-58.37,-34.68
Soleil,Boulogne,B,AR,,GMT-03:00 America/Argentina/Bu,-57.87,-34.88
Arevalo,Buenos Aires,B,AR,,GMT-03:00 America/Argentina/Bu,-58.44,-34.58
Terrazas de Mayo,Buenos Aires,B,AR,,GMT-03:00 America/Argentina/Bu,-58.7,-34.53
San Isidro,Buenos Aires,B,AR,,GMT-03:00 America/Argentina/Bu,-58.51,-34.47
Alvear,Buenos Aires,B,AR,,GMT-03:00 America/Argentina/Bu,-58.5,-34.49
Plaza Barrientos,Caba,B,AR,,GMT-03:00 America/Argentina/Bu,-58.4,-34.59
Bellini,Caba,B,AR,,GMT-03:00 America/Argentina/Bu,-58.38,-34.6
Ezeiza,Ezeiza,B,AR,,GMT-03:00 America/Argentina/Bu,-58.53,-34.8
Martinez,Martinez,B,AR,4733-9503,GMT-03:00 America/Argentina/Bu,-58.49,-34.48
Unicenter Shopping,Martinez,B,AR,4717-4898,GMT-03:00 America/Argentina/Bu,-58.52,-34.51
Plaza Oeste,Moron,B,AR,,GMT-03:00 America/Argentina/Bu,-58.65,-34.63
Champagnat,Pilar,B,AR,5530-7329,GMT-03:00 America/Argentina/Bu,-58.92,-34.45
Las Palmas,Pilar,B,AR,,GMT-03:00 America/Argentina/Bu,-60.22,-33.39
Austral,Pilar,B,AR,,GMT-03:00 America/Argentina/Bu,-58.86,-34.46
Quilmes,Quilmes,B,AR,,GMT-03:00 America/Argentina/Bu,-58.26,-34.72
Segundo Fernandez,San Isidro,B,AR,,GMT-03:00 America/Argentina/Bu,-58.55,-34.49
San Justo,San Justo,B,AR,,GMT-03:00 America/Argentina/Bu,-58.56,-34.69
Nordelta,Tigre,B,AR,,GMT-03:00 America/Argentina/Bu,-58.66,-34.4
Buenos Aires Mall,Tortuguitas,B,AR,5544-4607,GMT-03:00 America/Argentina/Bu,-58.73,-34.45
Maipu,Vicente Lopez,B,AR,,GMT-03:00 America/Argentina/Bu,-58.47,-34.53
Jean Jaures,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.41,-34.6
Maure,Buenos Aires,C,AR,5788-0585,GMT-03:00 America/Argentina/Bu,-58.44,-34.57
Ayacucho,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.4,-34.6
Honduras,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.44,-34.58
Juana Azurduy,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.47,-34.55
Cabildo,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.46,-34.56
Rodriguez Pena,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.39,-34.6
Gran Rex,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.38,-34.6
Paseo de la Infanta,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.42,-34.57
Galeria guemes,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.37,-34.61
Roosvelt,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.46,-34.56
Malabia,Buenos Aires,C,AR,4831-9937,GMT-03:00 America/Argentina/Bu,-58.43,-34.59
Plaza Serrano,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.42,-34.57
Edificio Pirelli,Buenos Aires,C,AR,4314-3386,GMT-03:00 America/Argentina/Bu,-58.38,-34.59
Arcos,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.43,-34.58
Congreso,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.38,-34.61
Federico Lacroze,Buenos Aires,C,AR,4899-1505,GMT-03:00 America/Argentina/Bu,-58.44,-34.57
Callao y Santa Fe,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.39,-34.6
Galerias -Cordoba,Buenos Aires,C,AR,5555-5247,GMT-03:00 America/Argentina/Bu,-58.38,-34.6
Los Molinos,Buenos Aires,C,AR,5530-7322,GMT-03:00 America/Argentina/Bu,-58.36,-34.61
DOT Planta Baja,Buenos Aires,C,AR,5777-9501,GMT-03:00 America/Argentina/Bu,-58.49,-34.55
Elcano,Buenos Aires,C,AR,4554-7122,GMT-03:00 America/Argentina/Bu,-58.46,-34.57
Conquistador,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.37,-34.6
Florida Plaza,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.38,-34.6
Alto Palermo,Buenos Aires,C,AR,5777-8114,GMT-03:00 America/Argentina/Bu,-58.41,-34.59
Viamonte,Buenos Aires,C,AR,5258-0314,GMT-03:00 America/Argentina/Bu,-58.39,-34.6
Paseo Alcorta,Buenos Aires,C,AR,4802-3151,GMT-03:00 America/Argentina/Bu,-58.4,-34.58
Yatch V,Buenos Aires,C,AR,5530-7324,GMT-03:00 America/Argentina/Bu,-58.36,-34.6
Pampa,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.45,-34.56
Avenida de Mayo,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.38,-34.61
Edificio Republica,Buenos Aires,C,AR,4342-1870,GMT-03:00 America/Argentina/Bu,-58.37,-34.6
Edificio Intercontinental,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.38,-34.61
UCA,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.37,-34.61
Recoleta Mall,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.39,-34.59
UADE II,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.38,-34.62
Parque Rivadavia,Buenos Aires,C,AR,5530-7311,GMT-03:00 America/Argentina/Bu,-58.43,-34.62
Avenida La Plata,Buenos Aires,C,AR,4958-0205,GMT-03:00 America/Argentina/Bu,-58.43,-34.62
Tribunales,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.39,-34.6
Portal Palermo,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.43,-34.58
Devoto Shopping,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.52,-34.61
Castex,Buenos Aires,C,AR,5530-7326,GMT-03:00 America/Argentina/Bu,-58.41,-34.58
Huidobro,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.47,-34.54
Abasto Shopping Center,Buenos Aires,C,AR,4861-1730,GMT-03:00 America/Argentina/Bu,-58.41,-34.6
Callao - Buenos Aires,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.39,-34.6
BIND,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.37,-34.6
Edificio Bank Boston,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.37,-34.6
UADE,Buenos Aires,C,AR,5530-7320,GMT-03:00 America/Argentina/Bu,-58.38,-34.62
Ramos Mejia,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.57,-34.64
San Telmo,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.37,-34.62
Mansilla,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.41,-34.59
Florida 1,Buenos Aires,C,AR,4342-9317,GMT-03:00 America/Argentina/Bu,-58.37,-34.61
Austria,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.4,-34.58
BA design,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.39,-34.59
Reconquista,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.37,-34.6
Cabello,Buenos Aires,C,AR,5530-7328,GMT-03:00 America/Argentina/Bu,-58.41,-34.58
Alliance,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.38,-34.6
Olleros,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.44,-34.57
Clinicas,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.4,-34.6
Peru.,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.37,-34.61
Defensores,Buenos Aires,C,AR,4701-9317,GMT-03:00 America/Argentina/Bu,-58.46,-34.54
Julian Alvarez,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.41,-34.59
Abasto 2,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.41,-34.6
Triunvirato,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.48,-34.58
Pueyrredon,Buenos Aires,C,AR,4897-7437,GMT-03:00 America/Argentina/Bu,-58.4,-34.59
Lomitas,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.4,-34.77
Panamericano,Buenos Aires,C,AR,5777-9501,GMT-03:00 America/Argentina/Bu,-58.49,-34.55
Caesar Park,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.38,-34.6
Villa Crespo,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.44,-34.6
Talcahuano,Buenos Aires,C,AR,,GMT-03:00 America/Argentina/Bu,-58.39,-34.6
Migueletes,Buenos Aires,C,AR,4775-9861,GMT-03:00 America/Argentina/Bu,-58.44,-34.57
Village Caballito,Caba,C,AR,,GMT-03:00 America/Argentina/Bu,-58.44,-34.62
Olazabal,Caba,C,AR,,GMT-03:00 America/Argentina/Bu,-58.45,-34.55
Galerias II,Caba,C,AR,,GMT-03:00 America/Argentina/Bu,-58.37,-34.6
La Barraca,Mendoza,M,AR,,GMT-03:00 America/Argentina/Bu,-68.84,-32.89
Plaza Espana Mendoza,Mendoza,M,AR,,GMT-03:00 America/Argentina/Bu,-68.84,-32.88
Mendoza Plaza Shopping,Mendoza,M,AR,,GMT-03:00 America/Argentina/Bu,-68.78,-32.9
Espejo,Mendoza,M,AR,,GMT-03:00 America/Argentina/Bu,-68.84,-32.89
Palmares Open Mall,Mendoza,M,AR,,GMT-03:00 America/Argentina/Bu,-68.83,-32.92
Boulevard Orono.,Rosario,S,AR,,GMT-03:00 America/Argentina/Bu,-60.65,-32.94
Alto Rosario,Rosario,S,AR,,GMT-03:00 America/Argentina/Bu,-60.67,-32.93
Paseo del Siglo,Santa Fe,S,AR,,GMT-03:00 America/Argentina/Bu,-60.7,-32.96
Buen Pastor,Cordoba,X,AR,,GMT-03:00 America/Argentina/Bu,-64.31,-31.32
Estrada,Cordoba,X,AR,,GMT-03:00 America/Argentina/Bu,-64.2,-31.44
Canada,Cordoba,X,AR,,GMT-03:00 America/Argentina/Bu,-64.19,-31.41
Dinosaurio Mall,Cordoba,X,AR,,GMT-03:00 America/Argentina/Bu,-64.24,-31.36
Nuevocentro,Cordoba,X,AR,,GMT-03:00 America/Argentina/Bu,-64.2,-31.41
Cordoba Shopping,Cordoba,X,AR,,GMT-03:00 America/Argentina/Bu,-64.2,-31.44
SCS,Vosendorf,3,AT,13366332531,GMT+1:00 Europe/Vienna,16.32,48.11
Europark,Salzburg,5,AT,13366332526,GMT+1:00 Europe/Vienna,13.01,47.82
Hagenauerplatz,Salzburg,5,AT,13366332528,GMT+1:00 Europe/Vienna,13.04,47.8
Forum 1,Salzburg,5,AT,13366332529,GMT+1:00 Europe/Vienna,13.05,47.81
Vienna Airport - landside (Kiosk),Schwechat,9,AT,,GMT+1:00 Europe/Vienna,16.56,48.13
Neubaugasse,Wien,9,AT,43 1 3366332507,GMT+1:00 Europe/Vienna,16.35,48.2
Millennium City,Wien,9,AT,43 1 3366332502,GMT+1:00 Europe/Vienna,16.39,48.24
Hauptbahnhof Wien,Wien,9,AT,4.31E+12,GMT+1:00 Europe/Vienna,16.38,48.18
Braunerstrasse,Wien,9,AT,431336633 2524,GMT+1:00 Europe/Vienna,16.37,48.21
Michaelerplatz,Wien,9,AT,43 1 3366332514,GMT+1:00 Europe/Vienna,16.37,48.21
AKH Allgemeines Krankenhaus,Wien,9,AT,43 1 3366332512,GMT+1:00 Europe/Vienna,16.35,48.22
Mariahilfer Strasse,Wien,9,AT,43 1 3366332505,GMT+1:00 Europe/Vienna,16.36,48.2
Rotenturmstrasse,Wien,9,AT,43 1 3366332515,GMT+1:00 Europe/Vienna,16.38,48.21
Invalidenstrasse,Wien,9,AT,43 1 3366332521,GMT+1:00 Europe/Vienna,16.39,48.21
Donauzentrum,Wien,9,AT,13366332523,GMT+1:00 Europe/Vienna,16.43,48.24
Westbahnhof,Wien,9,AT,4.31E+12,GMT+1:00 Europe/Vienna,16.34,48.2
Schottengasse,Wien,9,AT,4.31E+12,GMT+1:00 Europe/Vienna,16.36,48.21
Karlsplatzpassage,Wien,9,AT,4.31E+12,GMT+1:00 Europe/Vienna,16.37,48.2
Manly,Manly,NSW,AU,,GMT+10:00 Australia/Sydney,151.29,-33.8
Mount Druitt,Mt Druitt,NSW,AU,,GMT+10:00 Australia/Sydney,150.82,-33.77
